"","site","siteId","occupancy-10568-Acris_crepitans","occupancy-10855-Anaxyrus_americanus","occupancy-12769-Hyla_chrysoscelis","occupancy-13757-Lithobates_sphenocephalus","occupancy-15658-Pseudacris_crucifer","occupancy-15659-Pseudacris_feriarum","occupancy-24999-Dryobates_pubescens","occupancy-2944-Bubo_virginianus","occupancy-2972-Strix_varia","occupancy-4127-Melanerpes_carolinus","occupancy-4131-Sphyrapicus_varius","occupancy-4195-Picoides_villosus","occupancy-4228-Colaptes_auratus","occupancy-4247-Dryocopus_pileatus","occupancy-42783-Canis_latrans"
"1","Site_2",37718,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
"2","Site_38",37759,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0
"3","Site_28",37757,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0
"4","Site_41",37717,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0
"5","Site_39",38143,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
"6","Site_46",38142,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
"7","Site_18",39309,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
"8","Site_65",39308,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1
"9","Site_12",39306,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0
"10","Site_21",37758,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"11","Site_22",37755,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0
"12","Site_26",39301,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0
"13","Site_29",37719,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1
"14","Site_30",39304,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0
"15","Site_31",39303,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0
"16","Site_36",37753,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"17","Site_37",39310,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0
"18","Site_48",39305,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0
"19","Site_49",38144,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
"20","Site_50",39302,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0
"21","Site_56",39307,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0
"22","Site_60",39300,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
"23","Site_62",37754,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"24","Site_73",37756,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
"25","Site_9",37720,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
